Trial Number,Time Stamp,Relative Start Time,Switched To Tracker
1,2023-06-12 11:03:53.028,884.0,false
1,2023-06-12 11:03:54.579,2435.0,true
2,2023-06-12 11:04:12.465,606.0,false
2,2023-06-12 11:04:14.148,2289.0,true
3,2023-06-12 11:04:33.354,859.0,false
3,2023-06-12 11:04:37.545,5050.0,true
4,2023-06-12 11:04:48.6,577.0,false
4,2023-06-12 11:04:51.24,3217.0,true
5,2023-06-12 11:05:04.902,1588.0,false
5,2023-06-12 11:05:07.41,4096.0,true
6,2023-06-12 11:05:19.95,791.0,false
6,2023-06-12 11:05:21.237,2078.0,true
7,2023-06-12 11:05:37.572,1773.0,false
7,2023-06-12 11:05:40.575,4776.0,true
8,2023-06-12 11:05:51.96,1132.0,false
8,2023-06-12 11:05:53.412,2584.0,true
8,2023-06-12 11:05:55.128,4300.0,false
8,2023-06-12 11:05:56.382,5554.0,true
9,2023-06-12 11:06:07.899,1365.0,false
9,2023-06-12 11:06:09.153,2619.0,true
9,2023-06-12 11:06:10.902,4368.0,false
9,2023-06-12 11:06:12.387,5853.0,true
9,2023-06-12 11:06:14.301,7767.0,false
9,2023-06-12 11:06:15.291,8757.0,true
10,2023-06-12 11:06:22.815,951.0,false
10,2023-06-12 11:06:24.432,2568.0,true
11,2023-06-12 11:06:37.599,956.0,false
11,2023-06-12 11:06:38.985,2342.0,true
12,2023-06-12 11:06:53.538,1886.0,false
12,2023-06-12 11:06:55.287,3635.0,true
12,2023-06-12 11:06:57.366,5714.0,false
12,2023-06-12 11:06:59.709,8057.0,true
13,2023-06-12 11:07:06.639,579.0,false
13,2023-06-12 11:07:07.827,1767.0,true
14,2023-06-12 11:07:23.7,2184.0,false
14,2023-06-12 11:07:24.954,3438.0,true
14,2023-06-12 11:07:26.802,5286.0,false
14,2023-06-12 11:07:28.122,6606.0,true
14,2023-06-12 11:07:28.98,7464.0,false
14,2023-06-12 11:07:30.168,8652.0,true
15,2023-06-12 11:07:37.824,1251.0,false
15,2023-06-12 11:07:38.814,2241.0,true
15,2023-06-12 11:07:40.398,3825.0,false
15,2023-06-12 11:07:41.421,4848.0,true
15,2023-06-12 11:07:43.236,6663.0,false
15,2023-06-12 11:07:44.226,7653.0,true
15,2023-06-12 11:07:46.503,9930.0,false
16,2023-06-12 11:07:52.245,892.0,false
16,2023-06-12 11:07:53.4,2047.0,true
17,2023-06-12 11:08:12.144,1146.0,false
17,2023-06-12 11:08:13.2,2202.0,true
17,2023-06-12 11:08:14.85,3852.0,false
17,2023-06-12 11:08:15.609,4611.0,true
17,2023-06-12 11:08:16.995,5997.0,false
17,2023-06-12 11:08:18.117,7119.0,true
17,2023-06-12 11:08:20.196,9198.0,false
18,2023-06-12 11:08:26.598,601.0,false
18,2023-06-12 11:08:27.687,1690.0,true
19,2023-06-12 11:08:43.989,1903.0,false
19,2023-06-12 11:08:44.979,2893.0,true
19,2023-06-12 11:08:48.708,6622.0,false
19,2023-06-12 11:08:50.226,8140.0,true
20,2023-06-12 11:08:59.763,2861.0,false
20,2023-06-12 11:09:01.281,4379.0,true
20,2023-06-12 11:09:04.614,7712.0,false
20,2023-06-12 11:09:05.901,8999.0,true
21,2023-06-12 11:09:12.732,1442.0,false
21,2023-06-12 11:09:14.481,3191.0,true
21,2023-06-12 11:09:17.517,6227.0,false
21,2023-06-12 11:09:18.837,7547.0,true
22,2023-06-12 11:09:32.499,1162.0,false
22,2023-06-12 11:09:33.786,2449.0,true
22,2023-06-12 11:09:37.977,6640.0,false
22,2023-06-12 11:09:38.769,7432.0,true
23,2023-06-12 11:09:47.316,704.0,false
23,2023-06-12 11:09:48.966,2354.0,true
24,2023-06-12 11:10:02.43,722.0,false
24,2023-06-12 11:10:03.849,2141.0,true
25,2023-06-12 11:10:18.369,1028.0,false
25,2023-06-12 11:10:19.293,1952.0,true
25,2023-06-12 11:10:21.735,4394.0,false
25,2023-06-12 11:10:22.923,5582.0,true
26,2023-06-12 11:10:33.714,832.0,false
26,2023-06-12 11:10:34.605,1723.0,true
26,2023-06-12 11:10:40.215,7333.0,false
26,2023-06-12 11:10:40.809,7927.0,true
27,2023-06-12 11:10:48.432,1109.0,false
27,2023-06-12 11:10:50.181,2858.0,true
28,2023-06-12 11:11:06.516,824.0,false
28,2023-06-12 11:11:07.704,2012.0,true
28,2023-06-12 11:11:09.585,3893.0,false
28,2023-06-12 11:11:10.575,4883.0,true
28,2023-06-12 11:11:12.027,6335.0,false
28,2023-06-12 11:11:13.248,7556.0,true
28,2023-06-12 11:11:15.195,9503.0,false
29,2023-06-12 11:11:22.356,724.0,false
29,2023-06-12 11:11:23.511,1879.0,true
30,2023-06-12 11:11:40.44,957.0,false
30,2023-06-12 11:11:41.595,2112.0,true
30,2023-06-12 11:11:44.202,4719.0,false
30,2023-06-12 11:11:44.928,5445.0,true
30,2023-06-12 11:11:49.383,9900.0,false
31,2023-06-12 11:11:59.448,767.0,false
31,2023-06-12 11:12:00.537,1856.0,true
32,2023-06-12 11:12:14.859,1423.0,false
32,2023-06-12 11:12:16.377,2941.0,true
32,2023-06-12 11:12:20.733,7297.0,false
32,2023-06-12 11:12:21.987,8551.0,true
33,2023-06-12 11:12:30.138,922.0,false
33,2023-06-12 11:12:31.029,1813.0,true
33,2023-06-12 11:12:33.504,4288.0,false
33,2023-06-12 11:12:34.824,5608.0,true
34,2023-06-12 11:12:44.823,710.0,false
34,2023-06-12 11:12:46.077,1964.0,true
35,2023-06-12 11:12:59.574,802.0,false
35,2023-06-12 11:13:00.729,1957.0,true
35,2023-06-12 11:13:02.478,3706.0,false
35,2023-06-12 11:13:03.468,4696.0,true
35,2023-06-12 11:13:04.689,5917.0,false
35,2023-06-12 11:13:06.009,7237.0,true
35,2023-06-12 11:13:07.824,9052.0,false
36,2023-06-12 11:13:27.987,830.0,false
36,2023-06-12 11:13:29.109,1952.0,true
37,2023-06-12 11:13:45.114,936.0,false
37,2023-06-12 11:13:46.203,2025.0,true
37,2023-06-12 11:13:48.018,3840.0,false
37,2023-06-12 11:13:50.064,5886.0,true
37,2023-06-12 11:13:51.285,7107.0,false
37,2023-06-12 11:13:52.836,8658.0,true
38,2023-06-12 11:14:00.756,732.0,false
38,2023-06-12 11:14:02.274,2250.0,true
39,2023-06-12 11:14:18.906,1639.0,false
39,2023-06-12 11:14:21.777,4510.0,true
40,2023-06-12 11:14:34.713,1719.0,false
40,2023-06-12 11:14:36.396,3402.0,true
40,2023-06-12 11:14:38.838,5844.0,false
40,2023-06-12 11:14:40.983,7989.0,true
